Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions,PARA,Duration,Occlusions,NOTE: Taps for this participant seem to be stable at pre-task. Trills are not. Trills are produced as taps.
1,(papa),,,,,para,24,1 True,
2,ahora,,19,,1 True,para,50,approximant,
3,,ahorra,,18,1,para,18,approximant,
4,(uno),,,,,para,18,1 True,
5,vara,,13,,approximant,para,22,1 True,
6,,barra,,15,0,para,35,approximant,
7,(pata),,,,,para,19,approximant,
8,coral ,,19,,approximant,para,14,1 True,
9,,corral,,37,0,para,18,approximant,
10,(duelo),,,,,para,16,approximant,
11,caro,,22,,1 True,para,22,approximant,
12,,carro,,21,0,para,N/A,perceptual,
13,(cuna),,,,,para,24,approximant,
14,pera,,10,,approximant,para,17,approximant,
15,,perra,,18,1,para,17,approximant,
16,(huelo),,,,,para,N/A,perceptual,AUDIO 2
17,careta,,18,,approximant,para,26,approximant,
18,,carreta,,11,0,para,33,1 True,
19,(cena),,,,,para,29,1 True,
20,encerar,,26,,approximant,para,N/A,perceptual,
20b,encerar,,118,,approximant,,,,
21,,encerrar,,20,0,para,22,approximant,
21b,encerrar,,127,,approximant,,,,
22,(pena),,,,,para,12,approximant,
23,perito,,18,,approximant,para,N/A,perceptual,
24,,perrito,,128,2,para,84,approximant,
25,(invita),,,,,para,26,1 True,
26,pero,,28,,approximant,para,26,approximant,
27,,perro,,32,1,para,N/A,perceptual,
28,(incita),,,,,para,26,approximant,
29,cero,,19,,approximant,para,25,approximant,
30,,cerro,,29,1,para,N/A,perceptual,
31,(pato),,,,,para,19,approximant,AUDIO 3
32,,reto,,17,1,para,27,approximant,
33,,rifa,,9,0,para,N/A,perceptual,
34,(cometa),,,,,para,20,1 True,
35,,risa,,26,1,para,30,1 True,
36,,rojo,,85,0,para,29,approximant,
37,(gato),,,,,para,26,1 True,
38,,ropa,,22,0,para,22,approximant,
39,,borracho,,59,1,para,40,approximant,
40,(hilo),,,,,para,25,approximant,
41,,carreta,,34,1,para,33,1 True,
42,,perrita,,42,1,para,27,1 True,
43,(cono),,,,,para,30,1 True,
44,,jarrita,,34,1,para,43,1 True,
45,,barrilete,,49,1,para,21,approximant,
46,(camisa),,,,,para,17,approximant,AUDIO 4
47,,guitarra,,29,1,para,34,1 True,
48,,torre,,23,1,para,30,approximant,
49,(clase),,,,,para,31,approximant,
50,,burro ,,60,0,para,40,1 True,
51,,zorro,,54,0,para,24,approximant,
52,(cómico),,,,,para,20,approximant,
53,,tierra,,41,1,para,21,approximant,
54,,sonrisa,,72,0,para,24,approximant,
55,(tiempo),,,,,para,28,approximant,
56,,alrededor,,42,1,para,46,approximant,
56b,alrededor,,53,,approximant,,,,
57,,enriquece,,27,0,para,31,approximant,
58,(mango),,,,,para,29,1 True,
59,,honrado,,52,0,para,33,approximant,
60,,israel,,45,0,para,42,approximant,
61,(cometa),,,,,para,24,1 True,AUDIO 6
62,cara,,25,,approximant,para,22,approximant,
63,madera,,28,,1 True,para,28,1 True,
64,(música),,,,,para,20,approximant,
65,cereza,,28,,1 True,para,22,1 True,
66,quiero,,24,,1 True,para,26,approximant,
67,(médico),,,,,para,37,1 True,
68,pereza,,34,,1 True,para,N/A,perceptual,
69a,parar,,20,,approximant,,,,
69b,parar,,92,,approximant,para,37,approximant,
70,(mesa),,,,,para,24,approximant,
71a,querer,,25,,approximant,,,,
71b,querer,,36,,approximant,para,36,approximant,
72a,morir,,39,,approximant,para,46,1 True,
72b,morir,,140,,approximant,,,,
73,(amigo),,,,,para,36,approximant,
74a,mirar,,29,,1 True,,,,
