"","sentence","token","duration","occlusions","participant","level","time","trial","is_trill"
"1","1","NA","NA",NA,"P1E","sp1","POST",1,NA
"2","2","ahora","28","1 True","P1E","sp1","POST",2,"tap"
"3","3","ahorra","80","1 + frication (dr)","P1E","sp1","POST",3,"trill"
"4","4","(uno)","NA",NA,"P1E","sp1","POST",4,NA
"5","5","vara","14","1 True","P1E","sp1","POST",5,"tap"
"6","6","barra","85","2 + frication (dr)","P1E","sp1","POST",6,"trill"
"7","7","(pata)","NA",NA,"P1E","sp1","POST",7,NA
"8","8","coral ","63","approximant","P1E","sp1","POST",8,"tap"
"9","9","corral","54","1 + frication (dr)","P1E","sp1","POST",9,"trill"
"10","10","(duelo)","NA",NA,"P1E","sp1","POST",10,NA
"11","11","caro","17","1 True","P1E","sp1","POST",11,"tap"
"12","12","carro","74","1 + frication (dr)","P1E","sp1","POST",12,"trill"
"13","13","(cuna)","NA",NA,"P1E","sp1","POST",13,NA
"14","14","pera","28","1 True","P1E","sp1","POST",14,"tap"
"15","15","perra","78","3 + frication (dr)","P1E","sp1","POST",15,"trill"
"16","16","(huelo)","NA",NA,"P1E","sp1","POST",16,NA
"17","17","careta","29","1 True","P1E","sp1","POST",17,"tap"
"18","18","carreta","78","3 + frication (dr)","P1E","sp1","POST",18,"trill"
"19","19","(cena)","NA",NA,"P1E","sp1","POST",19,NA
"20","20","encerar","18","1 True","P1E","sp1","POST",20,"tap"
"21","20b","encerar","25","1 True","P1E","sp1","POST",21,"tap"
"22","21","encerrar","57","2 + frication (dr)","P1E","sp1","POST",22,"trill"
"23","21b","encerrar","43","1 True","P1E","sp1","POST",23,"tap"
"24","22","(pena)","NA",NA,"P1E","sp1","POST",24,NA
"25","23","perito","28","1 True","P1E","sp1","POST",25,"tap"
"26","24","perrito","49","3 + frication (dr)","P1E","sp1","POST",26,"trill"
"27","25","(invita)","NA",NA,"P1E","sp1","POST",27,NA
"28","26","pero","33","1 True","P1E","sp1","POST",28,"tap"
"29","27","perro","77","2 + frication (dr)","P1E","sp1","POST",29,"trill"
"30","28","(incita)","NA",NA,"P1E","sp1","POST",30,NA
"31","29","cero","30","1 True","P1E","sp1","POST",31,"tap"
"32","30","cerro","76","3 + frication (dr)","P1E","sp1","POST",32,"trill"
"33","31","(pato)","NA",NA,"P1E","sp1","POST",33,NA
"34","32","reto","38","1","P1E","sp1","POST",34,"trill"
"35","33","rifa","51","2","P1E","sp1","POST",35,"trill"
"36","34","(cometa)","NA",NA,"P1E","sp1","POST",36,NA
"37","35","risa","41","2","P1E","sp1","POST",37,"trill"
"38","36","rojo","33","2","P1E","sp1","POST",38,"trill"
"39","37","(gato)","NA",NA,"P1E","sp1","POST",39,NA
"40","38","ropa","41","2","P1E","sp1","POST",40,"trill"
"41","39","borracho","110","3 + frication (dr)","P1E","sp1","POST",41,"trill"
"42","40","(hilo)","NA",NA,"P1E","sp1","POST",42,NA
"43","41","carreta","64","2 + frication (dr)","P1E","sp1","POST",43,"trill"
"44","42","perrita","66","2 + frication (dr)","P1E","sp1","POST",44,"trill"
"45","43","(cono)","NA",NA,"P1E","sp1","POST",45,NA
"46","44","jarrita","67","2 + frication (dr)","P1E","sp1","POST",46,"trill"
"47","45","barrilete","69","3 + frication (dr)","P1E","sp1","POST",47,"trill"
"48","46","(camisa)","NA",NA,"P1E","sp1","POST",48,NA
"49","47","guitarra","76","2 + frication (dr)","P1E","sp1","POST",49,"trill"
"50","48","torre","63","2 + frication (dr)","P1E","sp1","POST",50,"trill"
"51","49","(clase)","NA",NA,"P1E","sp1","POST",51,NA
"52","50","burro ","69","2 + frication (dr)","P1E","sp1","POST",52,"trill"
"53","51","zorro","59","1 + frication (dr)","P1E","sp1","POST",53,"trill"
"54","52","(cómico)","NA",NA,"P1E","sp1","POST",54,NA
"55","53","tierra","78","2 + frication","P1E","sp1","POST",55,"trill"
"56","54","sonrisa","24","1","P1E","sp1","POST",56,"trill"
"57","55","(tiempo)","NA",NA,"P1E","sp1","POST",57,NA
"58","56","alrededor","92","3","P1E","sp1","POST",58,"trill"
"59","56b","alrededor","28","1 True","P1E","sp1","POST",59,"tap"
"60","57","enriquece","67","1 + /d/ sound","P1E","sp1","POST",60,"trill"
"61","58","(mango)","NA",NA,"P1E","sp1","POST",61,NA
"62","59","honrado","N/A","0","P1E","sp1","POST",62,"trill"
"63","60","israel","N/A","0","P1E","sp1","POST",63,"trill"
"64","61","(cometa)","NA",NA,"P1E","sp1","POST",64,NA
"65","62","cara","19","1 True","P1E","sp1","POST",65,"tap"
"66","63","madera","16","1 True","P1E","sp1","POST",66,"tap"
"67","64","(música)","NA",NA,"P1E","sp1","POST",67,NA
"68","65","cereza","35","1 True","P1E","sp1","POST",68,"tap"
"69","66","quiero","15","1 True","P1E","sp1","POST",69,"tap"
"70","67","(médico)","NA",NA,"P1E","sp1","POST",70,NA
"71","68","pereza","39","1 True","P1E","sp1","POST",71,"tap"
"72","69a","parar","46","1 True","P1E","sp1","POST",72,"tap"
"73","69b","parar","45","1 True","P1E","sp1","POST",73,"tap"
"74","70","(mesa)","NA",NA,"P1E","sp1","POST",74,NA
"75","71a","querer","29","1 True","P1E","sp1","POST",75,"tap"
"76","71b","querer","27","1 True","P1E","sp1","POST",76,"tap"
"77","72a","morir","27","1 True","P1E","sp1","POST",77,"tap"
"78","72b","morir","34","1 True","P1E","sp1","POST",78,"tap"
"79","73","(amigo)","NA",NA,"P1E","sp1","POST",79,NA
"80","74a","mirar","29","1 True","P1E","sp1","POST",80,"tap"
"81","74b","mirar","33","1 True","P1E","sp1","POST",81,"tap"
"82","75a","tirar","25","1 True","P1E","sp1","POST",82,"tap"
"83","75b","tirar","26","1 True","P1E","sp1","POST",83,"tap"
"84","76","(cocina)","NA",NA,"P1E","sp1","POST",84,NA
"85","77a","morder","45","approximant","P1E","sp1","POST",85,"tap"
"86","77b","morder","35","1 True","P1E","sp1","POST",86,"tap"
"87","78a","marcar","19","1 True","P1E","sp1","POST",87,"tap"
"88","78b","marcar","35","approximant","P1E","sp1","POST",88,"tap"
"89","79","(tiza)","NA",NA,"P1E","sp1","POST",89,NA
"90","80a","cortar ","15","1 True","P1E","sp1","POST",90,"tap"
"91","80b","cortar ","25","1 True","P1E","sp1","POST",91,"tap"
"92","81a","hurtar","24","approximant","P1E","sp1","POST",92,"tap"
"93","81b","hurtar","38","approximant","P1E","sp1","POST",93,"tap"
"94","82","(dieta)","NA",NA,"P1E","sp1","POST",94,NA
"95","83a","perder","37","1 True","P1E","sp1","POST",95,"tap"
"96","83b","perder","40","1 True","P1E","sp1","POST",96,"tap"
"97","84a","torero","36","1 True","P1E","sp1","POST",97,"tap"
"98","84b","torero","23","1 True","P1E","sp1","POST",98,"tap"
"99","85","(agua)","NA",NA,"P1E","sp1","POST",99,NA
"100","86a","perecer","25","1 True","P1E","sp1","POST",100,"tap"
"101","86b","perecer","22","1 True","P1E","sp1","POST",101,"tap"
"102","87a","colorear","47","1 True /d/","P1E","sp1","POST",102,"tap"
"103","87b","colorear","33","approximant","P1E","sp1","POST",103,"tap"
"104","88","(café)","NA",NA,"P1E","sp1","POST",104,NA
"105","89a","mercurio","24","1 True","P1E","sp1","POST",105,"tap"
"106","89b","mercurio","31","approximant","P1E","sp1","POST",106,"tap"
"107","90a","arteria","26","1 True","P1E","sp1","POST",107,"tap"
"108","90b","arteria","28","1 True","P1E","sp1","POST",108,"tap"
"109","91","(dibujo)","NA",NA,"P1E","sp1","POST",109,NA
"110","92a","radicar","47","1","P1E","sp1","POST",110,"trill"
"111","92b","radicar","47","approximant","P1E","sp1","POST",111,"tap"
